LP,KRS,NIP,Name,Voivodeship,County,Municipality,City
99,0000004449,6312182385,"STOWARZYSZENIE NA RZECZ OCHRONY ZDROWIA PSYCHICZNEGO ""NASZ DOM""",ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
100,0000004478,5252205224,"STOWARZYSZENIE RODZICÓW I OPIEKUNÓW OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ ""WIARA I NADZIEJA""",MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
101,0000004502,,"""STOWARZYSZENIE POMOCY DZIECIOM NIEPEŁNOSPRAWNYM ""ŚWIETLIK"" W PIŃCZOWIE""",ŚWIĘTOKRZYSKIE,PIŃCZOWSKI,PIŃCZÓW,SKOWRONNO DOLNE
102,0000004507,6481040860,"ZABRZAŃSKIE TOWARZYSTWO RODZICÓW, OPIEKUNÓW I PRZYJACIÓŁ DZIECI SPECJALNEJ TROSKI W ZABRZU",ŚLĄSKIE,M. ZABRZE,M. ZABRZE,ZABRZE
103,0000004522,7122347978,LUBELSKIE HOSPICJUM DLA DZIECI IM. MAŁEGO KSIĘCIA,LUBELSKIE,M. LUBLIN,M. LUBLIN,LUBLIN
104,0000004540,6391776646,"STOWARZYSZENIE PERSONA NA RZECZ PROMOCJI I OCHRONY ZDROWIA PSYCHICZNEGO Z SIEDZIBĄ
W RACIBORZU",ŚLĄSKIE,RACIBORSKI,RACIBÓRZ,RACIBÓRZ
105,0000004561,6311710830,GLIWICKIE STOWARZYSZENIE TANECZNO-SPORTOWE „SZOK GLIWICE”,ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
106,0000004657,6342414191,STOWARZYSZENIE PRO MUSICA ORGANA,ŚLĄSKIE,KATOWICE,KATOWICE,KATOWICE
107,0000004674,6462538062,STOWARZYSZENIE MIŁOŚNIKÓW 600- LETNIEGO BIERUNIA,ŚLĄSKIE,BIERUŃSKO-LĘDZIŃSKI,BIERUŃ,BIERUŃ
108,0000004694,6391709897,STOWARZYSZENIE GMIN DORZECZA GÓRNEJ ODRY Z SIEDZIBĄ W RACIBORZU,ŚLĄSKIE,RACIBORSKI,RACIBÓRZ,RACIBÓRZ
